iter	RMSE
206	1140.079625
207	1139.527334
208	1138.817958
209	1138.441698
210	1137.872033
211	1137.400858
212	1136.646035
213	1136.132412
214	1135.69256
215	1135.350135
216	1134.982464
217	1134.49121
218	1133.758406
219	1133.262475
220	1132.476288
221	1131.903638
222	1131.363326
223	1130.859311
224	1130.456111
225	1129.899683
226	1129.392286
227	1128.993619
228	1128.437612
229	1127.870368
230	1127.368233
231	1126.822987
232	1126.398676
233	1125.86078
234	1125.525708
235	1125.024057
236	1124.404225
237	1123.990012
238	1123.423189
239	1122.679596
240	1122.048299
241	1121.645718
242	1121.026604
243	1120.537535
244	1119.866635
245	1119.408241
246	1118.833624
247	1118.349948
248	1117.916656
249	1117.357334
250	1116.925937
251	1116.405768
252	1115.627514
253	1114.998665
254	1114.404325
255	1113.839075
256	1113.404122
257	1112.639267
258	1111.967735
259	1111.423504
260	1110.898417
261	1110.32648
262	1109.977947
263	1109.254092
264	1108.89552
265	1108.481199
266	1107.798702
267	1107.221803
268	1106.583057
269	1106.01441
270	1105.756525
271	1105.147548
272	1104.664862
273	1104.299997
274	1103.91618
275	1103.402014
276	1102.892038
277	1102.568707
278	1102.026106
279	1101.228038
280	1100.61057
281	1100.058543
282	1099.617506
283	1099.250497
284	1098.558934
285	1098.058613
286	1097.515127
287	1096.961562
288	1096.499647
289	1096.030789
290	1095.450714
291	1094.711888
292	1094.449282
293	1094.072064
294	1093.361664
295	1092.974086
296	1092.265762
297	1091.697419
298	1091.248943
299	1090.805686
300	1090.277347
301	1089.855999
302	1089.402433
303	1089.085922
304	1088.528878
305	1088.153872
306	1087.668188
307	1087.303897
308	1086.724873
309	1086.085695
310	1085.606138
311	1085.131527
312	1084.525895
313	1084.102764
314	1083.60603
315	1083.229173
316	1082.724769
317	1082.360693
318	1081.977379
319	1081.539153
320	1080.905219
321	1080.361836
322	1079.598658
323	1079.256255
324	1078.67979
325	1078.116736
326	1077.713049
327	1077.254084
328	1076.910317
329	1076.436605
330	1076.102213
331	1075.539152
332	1075.228488
333	1074.609115
334	1074.129914
335	1073.618892
336	1072.977227
337	1072.570761
338	1072.081899
339	1071.493136
340	1071.126509
341	1070.707535
342	1070.296039
343	1069.870815
344	1069.552286
345	1068.918637
346	1068.336345
347	1067.876745
348	1067.389973
349	1067.014879
350	1066.676861
351	1066.207742
352	1065.724403
353	1065.055658
354	1064.646779
355	1064.219048
356	1063.793517
357	1063.167191
358	1062.780532
359	1062.315972
360	1061.931211
361	1061.366696
362	1060.990385
363	1060.687307
364	1060.132446
365	1059.72867
366	1059.269624
367	1058.917286
368	1058.338426
369	1057.836913
370	1057.430631
371	1057.102061
372	1056.655065
373	1056.190808
374	1055.78857
375	1055.506921
376	1055.123817
377	1054.605984
378	1054.31354
379	1053.910881
380	1053.303789
381	1052.982169
382	1052.572379
383	1052.157763
384	1051.741094
385	1051.146705
386	1050.803973
387	1050.376704
388	1049.789831
389	1049.302219
390	1048.951896
391	1048.493715
392	1048.086199
393	1047.589122
394	1047.307539
395	1046.807113
396	1046.261562
397	1045.912737
398	1045.45472
399	1044.887085
400	1044.435054
401	1043.865845
402	1043.445131
403	1042.97395
404	1042.502337
405	1041.921768
406	1041.308693
407	1040.867019
408	1040.59804
409	1040.19366
410	1039.709314
411	1039.288008
412	1038.897709
413	1038.426563
414	1038.020994
415	1037.722242
416	1037.406806
417	1037.057618
418	1036.520552
419	1036.133278
420	1035.748411
421	1035.12663
422	1034.714809
423	1034.133278
424	1033.557661
425	1033.190595
426	1032.877394
427	1032.458017
428	1032.260411
429	1032.025857
430	1031.401817
431	1031.003812
432	1030.586167
433	1030.300794
434	1029.949347
435	1029.410513
436	1029.072216
437	1028.622851
438	1028.254456
439	1027.814412
440	1027.421204
441	1026.947543
442	1026.449395
443	1025.990411
444	1025.590905
445	1024.959066
446	1024.721906
447	1024.320244
448	1023.958851
449	1023.560357
450	1023.157394
451	1022.785179
452	1022.456671
453	1021.862684
454	1021.345994
455	1021.014603
456	1020.491211
457	1019.990783
458	1019.581503
459	1019.112849
460	1018.46104
461	1017.895219
462	1017.498251
463	1017.093246
464	1016.689112
465	1016.316973
466	1016.069331
467	1015.588686
468	1015.15395
469	1014.743365
470	1014.446172
471	1013.910004
472	1013.447036
473	1012.92846
474	1012.576706
475	1012.164085
476	1011.756254
477	1011.203081
478	1010.81838
479	1010.45233
480	1009.963419
481	1009.629065
482	1009.262416
483	1008.577345
484	1008.152561
485	1007.619464
486	1007.235472
487	1006.994019
488	1006.595379
489	1006.273322
490	1005.915464
491	1005.567136
492	1005.161471
493	1004.71462
494	1004.319359
495	1003.977852
496	1003.737303
497	1003.368381
498	1002.885461
499	1002.693424
500	1002.364999
501	1002.020831
502	1001.693558
503	1001.079519
504	1000.6077
505	1000.01275
506	999.9336696
507	999.6416627
508	999.4508538
509	999.109494
510	998.8569879
511	998.3675062
512	998.0006328
513	997.4793175
514	997.2233444
515	996.8851164
516	996.6018339
517	996.3015161
518	996.1454985
519	995.6857384
520	995.2979224
521	994.9088902
522	994.5045088
523	994.1514239
524	993.6320984
525	993.2346502
526	992.8982499
527	992.4601193
528	992.1968879
529	991.8646956
530	991.3791233
531	991.1221093
532	990.6741987
533	990.4746164
534	990.2359542
535	989.7085719
536	989.3923448
537	988.8924946
538	988.6018622
539	988.3439039
540	987.8572518
541	987.3661756
542	986.8654521
543	986.3569001
544	985.9051338
545	985.6433032
546	985.0934371
547	984.7740185
548	984.3438523
549	983.9220897
550	983.6838568
551	983.2717809
552	982.9547586
553	982.5763898
554	982.2565937
555	981.9201675
556	981.50517
557	981.0746885
558	980.6859016
559	980.3435459
560	979.7924694
561	979.3750634
562	979.0257742
563	978.6948349
564	978.1562722
565	977.8566059
566	977.4690764
567	977.0973733
568	976.665248
569	976.2943367
570	975.9268889
571	975.6701449
572	975.4516133
573	975.1446366
574	974.6832838
575	974.331285
576	974.1089086
577	973.8896001
578	973.435664
579	973.0866979
580	972.6028453
581	972.2190578
582	971.832534
583	971.4070154
584	970.8910813
585	970.5406952
586	970.2149372
587	969.7853158
588	969.51843
589	969.1323433
590	968.7480803
591	968.4469456
592	968.0782128
593	967.757996
594	967.4580112
595	967.1128329
596	966.7926251
597	966.5276616
598	966.1387892
599	965.85299
600	965.5959801
601	965.294287
602	964.9756686
603	964.5112709
604	964.3231662
605	963.9225944
606	963.7268783
607	963.1354178
608	962.6888868
609	962.3535743
610	961.9667236
611	961.4703441
612	961.1528199
613	960.7221596
614	960.3483792
615	960.0954035
616	959.8958377
617	959.5812449
618	959.0866929
619	958.6991486
620	958.496525
621	958.3322564
622	957.8611701
623	957.5081229
624	957.0536049
625	956.6512914
626	956.2511099
627	955.912831
628	955.5025455
629	955.1648775
630	954.8508197
631	954.4684782
632	954.0912878
633	953.9057705
634	953.6031018
635	953.1161561
636	952.7496343
637	952.5187763
638	952.2841142
639	952.0890539
640	951.7535434
641	951.3782432
642	951.0115356
643	950.7733914
644	950.5599683
645	950.3583051
646	950.0253848
647	949.6912107
648	949.38807
649	948.9834844
650	948.5620398
651	948.2691613
652	948.0554863
653	947.8822459
654	947.3918248
655	947.0940547
656	946.7659552
657	946.4824669
658	945.9694431
659	945.6893872
660	945.3817418
661	944.9899989
662	944.5901862
663	944.0851459
664	943.8786132
665	943.5737235
666	943.197599
667	942.9080225
668	942.6881203
669	942.2419293
670	941.9588933
671	941.6073406
672	941.2786318
673	940.9228715
674	940.581439
675	940.0629407
676	939.6244688
677	939.2140712
678	938.7962631
679	938.3886215
680	938.0578697
681	937.7749053
682	937.4455593
683	937.146502
684	936.8183286
685	936.6403613
686	936.4089275
687	936.191627
688	935.8510813
689	935.5314795
690	935.1755514
691	934.9029419
692	934.5527642
693	934.1891678
694	933.8948159
695	933.5492458
696	933.2674874
697	932.9698919
698	932.6236788
699	932.2035286
700	931.9518106
701	931.621225
702	931.3506586
703	931.0711053
704	930.6683136
705	930.4112435
706	930.0992454
707	929.8738694
708	929.5240311
709	929.1078737
710	928.7495364
711	928.3721193
712	928.041655
713	927.6512632
714	927.3804305
715	927.0326724
716	926.8051946
717	926.5319805
718	926.2135532
719	925.8781428
720	925.5448916
721	925.1850561
722	924.663478
723	924.2759928
724	923.9564448
725	923.5797414
726	923.2144346
727	922.9204462
728	922.6503973
729	922.2753054
730	921.877515
731	921.5709274
732	921.103952
733	920.6182622
734	920.2394331
735	919.97747
736	919.6489905
737	919.3278384
738	919.0295822
739	918.793656
740	918.3487684
741	918.0891579
742	917.7206021
743	917.3584184
744	916.9598075
745	916.622871
746	916.3799838
747	916.1380075
748	915.7251352
749	915.2892506
750	914.9714043
751	914.6031525
752	914.236594
753	914.0664376
754	913.8631013
755	913.6050134
756	913.18133
757	912.9163552
758	912.5992217
759	912.2286329
760	911.8380226
761	911.4410549
762	911.1802808
763	910.8435435
764	910.533246
765	910.1201854
766	909.7623618
767	909.4533822
768	909.0250189
769	908.5976449
770	908.2418302
771	908.0207977
772	907.7438816
773	907.4123414
774	906.9849076
775	906.7497616
776	906.4420846
777	906.1738292
778	905.9094562
779	905.5853082
780	905.3245144
781	904.8569725
782	904.5924998
783	904.2662483
784	903.9373988
785	903.727973
786	903.3983113
787	903.0789462
788	902.7068625
789	902.388183
790	902.0739673
791	901.7924172
792	901.5479641
793	901.3586286
794	901.0600494
795	900.8117013
796	900.5262717
797	900.2907769
798	899.9190073
799	899.6499593
800	899.4027898
801	899.022641
802	898.6078492
803	898.2741271
804	898.0220688
805	897.6063218
806	897.3655416
807	897.0895023
808	896.6252511
809	896.3010958
810	896.1589441
811	895.8633193
812	895.6407051
813	895.3207761
814	895.009558
815	894.6074354
816	894.2632241
817	893.7691833
818	893.3342749
819	893.0436729
820	892.6970749
821	892.3138164
822	892.0609973
823	891.7816416
824	891.4431793
825	891.0319007
826	890.7638673
827	890.3357959
828	890.0721373
829	889.678416
830	889.3797824
831	889.1117104
832	888.800215
833	888.5774161
834	888.1755944
835	887.910958
836	887.5823816
837	887.3394589
838	886.9572341
839	886.6193846
840	886.3255343
841	886.0102627
842	885.7396278
843	885.4724405
844	885.1914605
845	884.7673693
846	884.4927277
847	884.1998176
848	883.915663
849	883.6926571
850	883.5063458
851	883.3085004
852	883.0037497
853	882.5775603
854	882.3740912
855	882.0623558
856	881.7754054
857	881.2988366
858	881.0512228
859	880.7217588
860	880.3725978
861	880.1224788
862	879.7255863
863	879.5075398
864	879.3670504
865	878.9874789
866	878.6967803
867	878.3531278
868	878.0709958
869	877.7808156
870	877.4907737
871	877.0491289
872	876.7419989
873	876.4210784
874	876.0906378
875	875.8758557
876	875.6370644
877	875.3770248
878	875.2235617
879	874.8784635
880	874.5714867
881	874.1837789
882	873.8343983
883	873.5333988
884	873.2164892
885	872.8151272
886	872.5561647
887	872.2612124
888	872.0009806
889	871.7331268
890	871.3328706
891	871.0293262
892	870.7546276
893	870.2871947
894	869.99624
895	869.8167821
896	869.5291889
897	869.2696731
898	868.9668776
899	868.6286892
900	868.3306157
901	868.0014274
902	867.8116028
903	867.4930676
904	867.2460301
905	867.0207571
906	866.7565485
907	866.4714395
908	866.2278813
909	865.8517643
910	865.5989869
911	865.3335837
912	864.9571736
913	864.6955144
914	864.5128569
915	864.2202914
916	863.9550696
917	863.6116621
918	863.3566017
919	863.0611592
920	862.8030156
921	862.5948378
922	862.3279632
923	861.9932246
924	861.7847682
925	861.4678661
926	861.161928
927	860.8304364
928	860.42662
929	860.2027645
930	859.7067008
931	859.2665152
932	859.0432941
933	858.7726673
934	858.4046773
935	858.0475582
936	857.8216465
937	857.5531407
938	857.2045415
939	856.8686213
940	856.5582928
941	856.3083825
942	856.0833413
943	855.8722003
