iter	Passed	Remaining
402	11740	31959
403	11770	31930
404	11799	31902
405	11828	31873
406	11858	31845
407	11886	31815
408	11915	31784
409	11944	31754
410	11973	31725
411	12002	31696
412	12031	31666
413	12060	31637
414	12089	31608
415	12118	31578
416	12146	31547
417	12176	31518
418	12204	31488
419	12233	31457
420	12262	31427
421	12290	31396
422	12319	31367
423	12348	31337
424	12377	31307
425	12405	31277
426	12435	31248
427	12464	31218
428	12492	31188
429	12521	31158
430	12550	31129
431	12579	31099
432	12608	31070
433	12637	31040
434	12667	31013
435	12695	30982
436	12724	30952
437	12753	30922
438	12782	30892
439	12810	30861
440	12838	30830
441	12867	30799
442	12896	30770
443	12924	30740
444	12954	30713
445	12983	30683
446	13011	30651
447	13040	30621
448	13069	30592
449	13098	30562
450	13127	30533
451	13156	30503
452	13185	30474
453	13214	30444
454	13243	30415
455	13271	30384
456	13300	30355
457	13329	30326
458	13359	30297
459	13388	30269
460	13417	30240
461	13446	30210
462	13475	30180
463	13504	30152
464	13533	30121
465	13561	30092
466	13590	30061
467	13618	30031
468	13647	30001
469	13676	29970
470	13704	29940
471	13733	29911
472	13761	29879
473	13789	29849
474	13819	29821
475	13848	29790
476	13876	29760
477	13905	29730
478	13935	29703
479	13963	29673
480	13992	29643
481	14021	29613
482	14049	29583
483	14078	29554
484	14108	29525
485	14136	29494
486	14164	29463
487	14193	29434
488	14222	29404
489	14250	29373
490	14278	29343
491	14307	29312
492	14335	29282
493	14364	29252
494	14392	29221
495	14421	29192
